file_name,height,width,bbox,age,race,masked,skintone,emotion,gender,crop_name
image_1820.jpg,1024,1024,"[199.48484848484821, 148.1818181818181, 578.8585858585844, 815.3434343434336]",0,0,0,1,1,1,14757.jpg
103866562.jpg,2000,1330,"[427.7963587921816, 447.31381984588756, 462.579218472463, 339.10722295195427]",0,0,0,1,0,1,179.jpg
70343528.jpg,1334,2000,"[1247.0030805995486, 179.99999999999986, 309.9938388009023, 413.99999999999994]",0,0,0,2,1,1,8052.jpg
79090877.jpg,1334,2000,"[919.7827687888431, 245.60809592101194, 283.21723121115326, 336.99182569495105]",1,1,0,1,1,1,10395.jpg
10097784.jpg,2000,1333,"[580.0294931518696, 451.0290004019678, 175.4010948198779, 207.18823477463008]",0,1,0,1,0,1,38.jpg
68193087.jpg,1333,2000,"[1077.9319692531562, 301.88190471566793, 260.88660033106595, 344.03570961207834]",0,1,0,1,1,1,7401.jpg
81150368.jpg,1333,2000,"[1037.0030007501823, 163.99999999999832, 241.99574893723218, 335.9999999999971]",0,0,0,1,1,1,10845.jpg
65402564.jpg,1334,2000,"[588.1117328637978, 410.6763285376398, 79.83236418041602, 105.75507383309262]",0,1,0,1,1,1,6585.jpg
80905896.jpg,1333,2000,"[1076.4266122727995, 218.67505212642234, 252.5934489202999, 332.655487942958]",0,2,0,2,1,1,10776.jpg
101373807.jpg,1250,2000,"[583.619538519927, 334.6513708747453, 122.10890698101696, 237.02220075926104]",0,1,0,1,1,1,65.jpg
7972625.jpg,1333,2000,"[1010.5121951219496, 449.0146341463412, 431.09756097560796, 535.9804878048769]",0,1,0,1,1,1,10576.jpg
969873.jpg,2000,1333,"[682.9870799010614, 237.06363055659764, 479.3505601318992, 677.0864013820836]",0,1,0,1,0,0,13466.jpg
61696346.jpg,2000,1333,"[810.9052382037335, 721.9999999999961, 178.41053567359836, 234.72435424287895]",5,1,0,0,1,1,5526.jpg
image_8615.jpg,1024,1024,"[200.09142857142837, 115.34285714285727, 559.8514285714285, 879.1714285714288]",1,0,0,1,1,0,14023.jpg
62601869.jpg,1343,2000,"[1169.240285396114, 293.4210150084186, 144.28267639488297, 355.99999999999926]",3,0,0,0,0,0,5762.jpg
64289506.jpg,2000,1333,"[628.4012659537055, 465.2092132305895, 253.59873404629442, 353.6044785923055]",0,0,0,0,1,1,6274.jpg
85994371.jpg,2000,1338,"[555.001433962264, 218.99999999999966, 181.99885283018878, 197.9999999999999]",5,0,0,1,0,1,12093.jpg
11255032.jpg,2000,1333,"[522.9999999999969, 683.3343857712011, 275.2414881997234, 417.52140395153714]",0,1,0,1,1,1,444.jpg
image_1240.jpg,1024,1024,"[288.65258215962416, 149.49295774647837, 586.4600938967151, 799.985915492955]",0,0,0,1,0,0,14244.jpg
44490590.jpg,1333,2000,"[917.2098262093917, 116.86971457629342, 347.7580347581073, 456.89755170200056]",0,1,0,0,1,1,2853.jpg
82231462.jpg,600,2000,"[857.9052397247966, 58.951584284742964, 37.296172376109055, 58.57606724271701]",0,0,0,1,0,1,11149.jpg
44919742.jpg,1500,2000,"[560.6515861422454, 237.93978793060447, 276.3324695946947, 350.44946091230105]",0,2,0,0,1,1,2900.jpg
34251052.jpg,1333,2000,"[1237.4863111050313, 352.4411088998398, 98.25684444747773, 109.51270157165132]",3,1,0,0,0,0,1797.jpg
image_5548.jpg,1024,1024,"[156.0585365853657, 151.3219512195122, 571.4780487804859, 789.1268292682927]",0,1,0,1,1,1,15296.jpg
28865890.jpg,1333,2000,"[1151.4416979324778, 368.58829190753244, 148.96861273765796, 197.4117080924676]",0,1,0,1,1,1,1536.jpg
49271792.jpg,1333,2000,"[950.1781092202068, 173.18613744860514, 346.6384769230019, 478.12649338651]",0,0,0,2,0,0,3696.jpg
70451273.jpg,2000,1333,"[239.90705389361042, 50.22019167345622, 667.5767081829805, 824.6172053136587]",0,1,0,1,1,1,8094.jpg
image_4588.jpg,1024,1024,"[213.00000000000009, 145.46162927981095, 590.4332939787487, 792.2255017709566]",5,1,0,0,1,1,15291.jpg
76620877.jpg,1125,2000,"[1012.999999999999, 163.00000000000014, 388.0000000000001, 505.99999999999994]",0,1,0,0,0,1,9741.jpg
60574022.jpg,1333,2000,"[914.8598972628217, 312.01878110033056, 193.84264216978153, 254.47904413573477]",0,0,0,2,0,0,5257.jpg
82008238.jpg,2000,1333,"[529.8816662180299, 284.0831895957247, 228.28203768506015, 377.9168104042666]",1,1,0,1,0,1,11090.jpg
75901017.jpg,1333,2000,"[671.5988489779053, 228.0000000000011, 195.46854240637387, 259.93779335412705]",0,0,0,1,1,1,9533.jpg
76787878.jpg,1333,2000,"[893.0022505626407, 229.0, 253.99774943735892, 340.9999999999997]",0,0,0,0,1,0,9780.jpg
70435488.jpg,1333,2000,"[902.702921761906, 461.60981919000307, 692.903233227744, 551.4754520249915]",4,0,0,1,1,0,8085.jpg
84220876.jpg,1333,2000,"[1295.7751230034937, 246.5910597409144, 211.0887795524456, 300.5452536787793]",0,1,0,1,1,1,11671.jpg
68594353.jpg,1333,2000,"[922.2689965760906, 316.0000000000028, 240.3009122035565, 306.73257067305275]",0,1,0,1,1,0,7567.jpg
87690095.jpg,1334,2000,"[1104.9997687181813, 118.99999999999989, 248.00037005090908, 342.9999999999999]",3,1,0,1,0,0,12536.jpg
50736712.jpg,2000,1333,"[590.2578888054095, 540.2539444027032, 204.74211119459113, 222.53418482344225]",0,0,0,0,0,1,3925.jpg
63372020.jpg,1333,2000,"[1031.9999999999998, 109.99999999999982, 308.9999999999993, 390.9983752969119]",0,1,0,1,1,1,6018.jpg
56730769.jpg,1330,2000,"[1473.9999053048261, 124.99999999999982, 296.9994697070116, 305.999999999999]",0,1,0,1,1,1,4518.jpg
61666515.jpg,2000,1333,"[694.0552725730439, 712.7217192862614, 144.5873944705998, 134.2782807137359]",0,0,0,1,1,1,5519.jpg
75807414.jpg,1333,2000,"[1162.2246405288993, 172.00000000000108, 265.7753594711011, 343.5899683712363]",3,1,0,1,0,1,9511.jpg
image_8363.jpg,1024,1024,"[98.58630136986301, 169.4465753424657, 597.4136986301365, 790.1342465753422]",0,0,0,1,0,0,14075.jpg
13235041.jpg,2000,1333,"[450.40878005217, 238.78109418755528, 312.7331785523788, 368.7682701163848]",1,1,0,0,1,1,667.jpg
82679112.jpg,2000,1333,"[450.2076609272817, 372.62092132305594, 253.06774251634482, 308.38146797379477]",4,0,0,0,1,1,11232.jpg
80665121.jpg,1355,2000,"[1157.178342840938, 211.47962500247016, 195.82165715905745, 254.97648749678598]",0,0,0,1,1,1,10727.jpg
63784923.jpg,1333,2000,"[723.3332754363694, 290.44229083334824, 301.8752062579259, 392.6273591135068]",2,0,1,1,1,1,6125.jpg
83573551.jpg,1333,2000,"[544.930477095611, 370.23732991512475, 149.06952290438622, 166.83200372895345]",0,0,0,0,1,1,11487.jpg
76041433.jpg,2000,1334,"[397.89419663, 425.0, 519.9926508200006, 753.3369400000004]",0,1,0,1,1,1,9575.jpg
89457863.jpg,1333,2000,"[1465.262106960452, 332.4979952492199, 272.9982757794419, 311.10505625315506]",0,1,0,1,1,0,12778.jpg
image_2357.jpg,1024,1024,"[177.97183098591537, 133.2723004694836, 608.0281690140832, 778.3427230046935]",4,0,0,1,0,0,14465.jpg
45379022.jpg,1333,2000,"[934.793834066318, 249.038727424034, 221.4886323071517, 274.4084838397474]",0,0,0,1,0,0,2958.jpg
78627889.jpg,2000,2000,"[651.3518878105745, 921.7801792306248, 511.76660194096036, 652.7860227066029]",0,0,0,1,1,1,10265.jpg
image_7436.jpg,1024,1024,"[224.94562647754134, 189.21276595744698, 569.1583924349874, 793.2529550827431]",1,1,0,0,1,0,14957.jpg
70590062.jpg,1333,2000,"[845.7336613426514, 0.0, 351.26633865733623, 415.95419393786335]",0,1,0,0,0,0,8148.jpg
55529998.jpg,1334,2000,"[961.9999999999994, 184.00000000000034, 323.741181274928, 394.6867404557797]",0,0,0,0,0,1,4401.jpg
46646165.jpg,2000,1333,"[471.2441720158234, 494.0000000000005, 263.75582798417616, 361.2819888390872]",2,0,0,1,0,0,3184.jpg
83588750.jpg,1332,2000,"[949.6591919617106, 100.64845017937911, 693.9999999999942, 887.3732021201935]",0,0,0,1,1,1,11501.jpg
74674003.jpg,2000,1333,"[504.2988219557518, 279.31000000000023, 430.1191456725655, 583.0599999999984]",0,0,0,1,1,1,9211.jpg
75389594.jpg,2000,1338,"[976.5060005556259, 406.0000000000001, 120.4939994443796, 220.8502853453341]",3,1,1,0,0,0,9404.jpg
83765533.jpg,1333,2000,"[855.8797529960987, 639.9543312366933, 214.5081153260132, 146.46715636661295]",0,2,1,2,0,1,11552.jpg
61412769.jpg,1333,2000,"[926.9464349458921, 167.21300083220217, 250.274104274338, 336.7181765508303]",0,0,0,0,1,1,5454.jpg
1634047.jpg,1328,2000,"[933.7553710849456, 186.71204640705554, 303.57444411463194, 326.5759071858843]",0,1,0,1,1,1,895.jpg
68324184.jpg,2000,1500,"[157.13930065789594, 289.42073883776516, 1191.7949500000154, 1590.810965627157]",0,2,0,2,0,1,7455.jpg
84154525.jpg,1512,2000,"[381.99527444565473, 167.9999999999999, 307.01308615049015, 413.99999999999864]",0,0,0,1,1,1,11650.jpg
4446276.jpg,2000,1333,"[152.59705050690235, 398.478596048456, 486.6014839674383, 649.8758926863596]",0,1,0,0,0,0,2848.jpg
81020394.jpg,2000,1428,"[651.3230769230757, 447.0, 230.79487179487154, 326.6829268292682]",0,1,0,1,1,1,10809.jpg
68430417.jpg,1333,2000,"[1085.0025006251635, 341.0000000000002, 336.0027506876718, 286.00000000000017]",0,0,0,2,0,0,7487.jpg
79091826.jpg,1333,2000,"[933.0027506876633, 225.99999999999696, 194.99574893723263, 255.99999999999767]",0,0,0,0,1,1,10397.jpg
62712643.jpg,1333,2000,"[854.242036283224, 197.00000000000006, 245.8430810136658, 306.1315807555945]",0,0,0,2,1,1,5800.jpg
76696616.jpg,2000,1333,"[604.0886363636355, 717.8181818181743, 256.91136363636116, 373.18181818181574]",0,0,0,1,1,1,9760.jpg
image_1650.jpg,1024,1024,"[255.6150234741791, 177.51173708920115, 523.8356807511747, 752.5633802816897]",0,1,0,1,1,1,14240.jpg
84628849.jpg,1333,2000,"[1097.0007501875473, 183.99999999999994, 171.9992498124541, 200.99999999999957]",0,2,0,2,1,0,11768.jpg
1540074.jpg,1333,2000,"[1104.0025006251542, 265.9999999999975, 292.9967491872946, 362.99999999999756]",0,1,0,1,1,1,825.jpg
59246075.jpg,1082,2000,"[1104.4208094118724, 143.49524574976277, 416.15838117623554, 529.5864292516699]",4,0,0,1,1,0,4986.jpg
65902160.jpg,1333,2000,"[978.0000000000051, 6.000673993419127e-16, 490.9999999999999, 545.1961057142001]",0,1,0,1,1,1,6707.jpg
2128316.jpg,1333,2000,"[1111.0292943363827, 437.9999999999985, 213.97070566361583, 280.65503466525274]",0,1,0,0,1,1,1141.jpg
5243644.jpg,2000,1333,"[576.4341633162481, 315.2819888390857, 245.1402790956859, 291.42298325862885]",0,1,0,1,1,0,3986.jpg
63089773.jpg,1333,2000,"[871.5988477611784, 196.56579037779662, 244.2689284687983, 319.7112821289937]",0,0,0,0,1,1,5915.jpg
90197991.jpg,2000,2000,"[913.9282152858403, 154.21890581244455, 252.07178471415963, 351.63397308927006]",0,0,0,1,0,1,12866.jpg
35170422.jpg,1333,2000,"[455.4180784206811, 285.6372616354203, 56.1199746446404, 111.86767735939281]",0,1,0,1,1,1,1850.jpg
image_7365.jpg,1024,1024,"[287.89125295508296, 157.80141843971637, 551.5248226950353, 754.6193853427899]",0,1,0,0,1,1,13700.jpg
54204151.jpg,2000,1333,"[485.30248994874245, 319.4667089255988, 367.0413721751685, 474.5332910743981]",0,0,0,1,1,1,4162.jpg
60670369.jpg,1125,2000,"[950.2988297450474, 288.66746329291175, 224.7011702549543, 306.33014682835454]",0,2,0,2,1,1,5284.jpg
67099592.jpg,1125,2000,"[631.5466052934412, 133.99999999999972, 315.9459148446487, 486.23705408515457]",0,1,0,1,0,0,7070.jpg
74087750.jpg,2000,1333,"[394.53235016896855, 680.068947825016, 279.8698825685571, 375.97562604970136]",0,0,0,1,1,0,9083.jpg
77349884.jpg,1334,2000,"[1187.0041074660624, 106.00000000000006, 301.9931542232246, 436.9999999999999]",0,0,0,1,1,1,9932.jpg
61583583.jpg,1333,2000,"[640.010554401221, 281.99999999999227, 446.1277794268059, 418.1152609743592]",0,1,0,1,1,1,5496.jpg
84596293.jpg,2000,1334,"[521.3655329277651, 964.31999844478, 81.1448106931726, 101.6800015552205]",0,0,0,1,1,1,11760.jpg
67950041.jpg,1333,2000,"[551.2365025460457, 71.7744854472967, 315.716944427375, 417.7959359357174]",0,1,0,1,1,1,7328.jpg
60388231.jpg,1333,2000,"[1009.2805601616172, 83.9802671105109, 210.48818760731095, 291.0197328894856]",1,0,0,1,1,0,5220.jpg
image_7856.jpg,1024,1024,"[203.99024390243903, 164.853658536585, 543.2487804878042, 801.5951219512193]",1,0,0,1,1,0,14067.jpg
70323923.jpg,1333,2000,"[1001.0042510627657, 372.00000000000017, 178.99549887471824, 245.99999999999937]",0,1,0,1,0,1,8040.jpg
975188.jpg,1333,2000,"[1147.081319451238, 345.12463246235814, 345.48851008867416, 433.97624962798966]",0,1,0,0,1,1,13501.jpg
1691343.jpg,2000,1333,"[276.17121039691625, 391.08487641756227, 483.88522339306104, 599.8691583657537]",0,1,0,1,1,1,921.jpg
16131569.jpg,2000,1333,"[611.9957038391217, 255.9999999999994, 142.00429616087604, 190.99999999999912]",0,1,0,1,1,1,878.jpg
27578993.jpg,2000,1333,"[646.2380176683199, 761.9999999999976, 355.2362242337008, 421.99999999999994]",2,1,0,1,1,1,1482.jpg
2108314.jpg,1333,2000,"[986.8671311412246, 231.11072730875165, 406.9566560711833, 526.6223298547029]",0,1,0,1,1,1,1123.jpg
2553820.jpg,1333,2000,"[1209.2426034720902, 121.9999999999999, 189.40644767722728, 247.95589237364436]",0,1,0,1,1,1,1374.jpg
81538737.jpg,604,2000,"[88.17805382522367, 179.5556391437448, 52.685000713183946, 71.48974521463907]",0,0,0,1,0,1,10948.jpg
48106258.jpg,1333,2000,"[1145.0250782810308, 187.84205719711247, 276.9749217189681, 408.1237719539102]",0,1,0,0,1,0,3464.jpg
101590632.jpg,1335,2000,"[726.703707295795, 165.65425527942435, 64.92905422146313, 112.3457447205753]",0,1,0,1,1,1,87.jpg
83493294.jpg,2000,1333,"[432.028541675, 517.5691999999991, 534.9714583249998, 610.430799999998]",0,0,0,1,0,1,11452.jpg
73873252.jpg,1333,2000,"[958.4864210138561, 92.99919809967943, 293.0125344486978, 313.5366528333038]",0,1,0,1,1,1,9031.jpg
27138890.jpg,1333,2000,"[790.1071766251566, 278.6698531716464, 295.7593193394625, 334.53027288381503]",0,1,0,1,1,1,1469.jpg
87324130.jpg,1333,2000,"[924.292546054112, 185.68301856104787, 277.2467159110911, 359.159037988487]",0,1,0,1,1,1,12444.jpg
37241574.jpg,1333,2000,"[1327.6461508382563, 336.9736837635399, 85.62797968445956, 143.9999999999998]",0,1,0,2,1,1,1944.jpg
83194674.jpg,2000,1333,"[576.9483494587471, 128.70905069787793, 228.01864856420204, 322.40594744217753]",0,0,0,1,1,0,11348.jpg
72455644.jpg,1345,2000,"[774.6802741111858, 268.38657223930255, 245.1451299662972, 356.95985020404726]",0,0,0,1,1,1,8653.jpg
83411311.jpg,2000,1338,"[490.2898924679245, 408.324, 397.71010753207537, 402.3450000000004]",0,0,0,1,1,1,11422.jpg
102801000.jpg,1333,2000,"[888.0000000000001, 275.0, 193.0, 248.0]",1,0,0,1,0,1,143.jpg
82995104.jpg,1333,2000,"[1120.8132366273792, 297.62721088435376, 223.1867633726201, 314.81360544217677]",0,1,0,1,1,0,11307.jpg
61853008.jpg,1333,2000,"[954.5544692485829, 581.0019306737955, 60.46969683528164, 78.99806932617756]",0,1,0,1,1,1,5581.jpg
image_408.jpg,1024,1024,"[264.4634146341455, 192.03414634146327, 501.53658536585203, 805.1170731707315]",1,0,0,1,0,0,13803.jpg
77780730.jpg,1125,2000,"[711.9890775000957, 195.65235743679057, 298.9686799164156, 384.355447597684]",0,1,0,1,1,1,10039.jpg
52688673.jpg,1333,2000,"[844.0007501875455, 188.99999999999994, 249.99924981245246, 353.0000000000002]",0,0,0,1,1,0,4001.jpg
61137556.jpg,2000,1333,"[382.44208957782547, 198.8819438790311, 352.4723052237117, 533.8904997951138]",0,1,0,1,1,1,5378.jpg
22141324.jpg,1334,2000,"[1300.065029889179, 338.0000000000032, 195.56112981968943, 246.8085894723084]",0,1,0,0,0,0,1195.jpg
image_2916.jpg,1024,1024,"[246.7121951219509, 200.03902439024324, 585.7317073170732, 732.1658536585356]",2,0,0,1,1,0,14711.jpg
64462991.jpg,2000,1333,"[482.98320353982297, 262.6799999999997, 346.02519469026606, 499.4671210982864]",0,0,0,1,0,0,6335.jpg
86900275.jpg,2000,2000,"[685.7142857142861, 691.1564625850345, 282.99319727891117, 669.3877551020404]",0,0,0,1,0,1,12325.jpg
71053346.jpg,1333,2000,"[582.2332207167085, 332.6107224565889, 212.26802105687932, 219.1415371315724]",0,0,0,1,1,1,8305.jpg
23684920.jpg,1334,2000,"[530.0534715682466, 238.92821437711456, 293.8895693494146, 385.17474884490326]",0,1,0,0,1,0,1285.jpg
87264209.jpg,655,2000,"[291.8444446008014, 124.54540068904086, 54.077067646385174, 73.49117387929275]",0,0,0,1,1,1,12410.jpg
image_1403.jpg,1024,1024,"[186.00938967136128, 151.4366197183096, 577.615023474178, 766.7558685446003]",2,1,0,2,5,1,14046.jpg
3567221.jpg,1333,2000,"[843.8248562140565, 214.97189999999998, 382.78174543635777, 547.6357999999992]",0,1,0,1,1,1,1866.jpg
56343700.jpg,1333,2000,"[1219.6356653098044, 144.3723618571908, 215.56395061058834, 340.627638142809]",2,0,0,2,5,1,4476.jpg
image_3261.jpg,1024,1024,"[219.22222222222246, 181.38383838383825, 590.2222222222221, 781.969696969698]",0,0,0,1,1,0,14688.jpg
63441101.jpg,1237,2000,"[906.294242196571, 246.48892723391256, 221.70575780342966, 335.1606756782204]",0,1,0,1,4,1,6039.jpg
image_8477.jpg,1024,1024,"[104.85714285714249, 180.9485714285715, 550.1257142857136, 756.3999999999993]",0,1,0,1,0,1,14332.jpg
54528912.jpg,2000,1333,"[506.5651491435052, 1047.8684188176942, 83.40879119909215, 122.15789741877148]",2,0,0,1,0,1,4226.jpg
71776753.jpg,2000,1333,"[793.4033429171399, 721.8089703772276, 298.8507753959255, 409.44726168508583]",1,0,0,1,1,0,8457.jpg
1722004.jpg,2000,1328,"[493.8374331550823, 492.4545454545527, 329.8834224598964, 422.000000000005]",0,1,0,0,1,1,935.jpg
68555298.jpg,1200,2000,"[690.6362700225337, 313.81973862240585, 211.12385768405517, 258.18026137759557]",1,0,0,1,0,0,7545.jpg
41981453.jpg,1599,2000,"[831.2068268937394, 374.425144829899, 228.82750958310896, 238.05854046233742]",0,0,0,1,0,0,2434.jpg
73839671.jpg,2000,1333,"[860.7580952889759, 443.7235494217976, 129.1155554961928, 187.27645057820249]",3,0,0,1,1,0,9021.jpg
3434815.jpg,1333,2000,"[1274.004501125284, 217.99999999999952, 326.99274818704646, 422.9999999999977]",0,1,0,1,1,1,1804.jpg
72943003.jpg,1333,2000,"[668.8810794824309, 321.6768003185957, 234.51464260989982, 200.06365052241065]",0,1,0,1,1,1,8783.jpg
86692919.jpg,1005,2000,"[1710.4430379746843, 640.9842519685042, 91.77215189873424, 107.62204724409473]",2,0,0,1,0,0,12284.jpg
19413403.jpg,2000,1600,"[592.5670691626741, 536.8302471648802, 489.86586167464407, 695.4907061845289]",1,1,0,1,1,1,1044.jpg
5590642.jpg,1333,2000,"[1437.9999999999998, 375.3600877931583, 264.99999999999994, 322.6535150256172]",0,1,0,1,0,1,4434.jpg
14035683.jpg,1333,2000,"[851.6867009863266, 348.7771327230478, 230.66919116963646, 301.11143363848015]",0,1,0,0,1,0,738.jpg
74856448.jpg,1333,2000,"[1103.7846028140539, 163.91679191697366, 277.2153971859489, 358.4018634594725]",0,0,0,1,1,1,9287.jpg
74551110.jpg,1333,2000,"[700.6131983648022, 78.28673573617459, 709.546817208487, 951.5950587171379]",2,0,0,1,0,0,9170.jpg
image_5489.jpg,1024,1024,"[256.0000000000004, 165.38724911452175, 675.1369539551356, 844.9586776859501]",0,0,0,0,1,1,13918.jpg
62847837.jpg,1335,2000,"[368.0631640172781, 2.0677374435743504e-13, 605.228933210046, 715.9999999999994]",0,1,0,1,1,1,5832.jpg
84989437.jpg,1696,2000,"[485.1476355247979, 614.8448979591838, 401.7047289504036, 515.61768707483]",0,0,0,1,1,1,11871.jpg
85142288.jpg,1333,2000,"[758.9686833286154, 333.66760025536877, 209.21443810604197, 278.48374515274963]",0,0,0,1,1,1,11905.jpg
image_5466.jpg,1024,1024,"[241.99999999999943, 156.92443919716655, 561.9999999999992, 753.7922077922074]",2,0,0,1,0,0,14041.jpg
3472005.jpg,1263,2000,"[1126.0040005000599, 287.9999999999994, 409.9934991873977, 523.8163620802932]",0,1,0,1,0,1,1824.jpg
87650653.jpg,1334,2000,"[1124.873319470364, 131.07966227385157, 363.12668052962914, 459.4208786990877]",0,0,0,1,1,1,12531.jpg
71992450.jpg,1316,2000,"[554.3126002935535, 1.4241065066482847e-12, 825.8621250993527, 1092.5581820110506]",1,0,0,0,1,1,8516.jpg
56520754.jpg,1333,2000,"[1248.6173711374743, 136.2637717377891, 240.22434559659033, 331.55028801409713]",0,0,0,1,1,0,4493.jpg
70684995.jpg,2000,1333,"[294.11914101999974, 221.23183999999887, 457.94946313749875, 558.4826603756558]",3,1,0,1,1,0,8195.jpg
67122981.jpg,1333,2000,"[551.736837635386, 328.9999999999993, 260.26316236461577, 325.4328198595478]",0,1,0,1,1,1,7072.jpg
4060313.jpg,1333,2000,"[1766.3040993615084, 107.60044190668187, 196.7017568692276, 196.54939237830592]",3,1,0,2,0,1,2268.jpg
65792473.jpg,1333,2000,"[765.0007501875456, 105.99999999999932, 264.00025006251536, 335.99999999999886]",0,0,0,1,0,1,6676.jpg
67672498.jpg,1333,2000,"[650.8848956559506, 277.10908486804476, 326.1220296231915, 445.4115323541043]",0,1,0,0,1,1,7251.jpg
49078624.jpg,1333,2000,"[875.9939984996247, 265.00000000000017, 356.00450112528006, 428.99999999999864]",5,1,1,1,1,1,3663.jpg
81933003.jpg,1333,2000,"[1316.0010002500644, 255.00000000000003, 136.99674918729409, 229.99999999999946]",0,0,0,1,1,1,11070.jpg
43495083.jpg,1333,2000,"[842.180926970305, 236.72389938186762, 469.58499851586055, 604.3264312130043]",0,1,0,1,1,1,2685.jpg
72460752.jpg,2000,1331,"[319.6513769414882, 226.83152999999973, 619.9531076595728, 857.4884699999959]",4,0,0,1,1,0,8655.jpg
79927645.jpg,1333,2000,"[644.237965415034, 240.43402809085234, 203.28410189737477, 269.5659719091471]",0,1,0,1,1,1,10609.jpg
70311079.jpg,1333,2000,"[1285.3619778117186, 278.2156323903561, 138.3846377200782, 203.78436760963848]",0,0,0,0,1,1,8037.jpg
76719174.jpg,1333,2000,"[774.002000500125, 398.9999999999998, 300.9964991247813, 405.9999999999997]",2,1,0,1,1,0,9763.jpg
image_9703.jpg,1024,1024,"[273.7171717171718, 142.83838383838395, 543.5353535353532, 814.9292929292911]",1,0,0,1,1,1,14044.jpg
64369000.jpg,1333,2000,"[974.2957042478322, 130.91870898038428, 367.4409044886377, 425.1338510773144]",2,0,0,1,3,0,6297.jpg
42400182.jpg,1333,2000,"[937.3875133863804, 406.7179340545776, 515.7872119409835, 645.6041750909698]",2,1,0,1,0,0,2516.jpg
77573379.jpg,1334,2000,"[906.7640358014626, 139.88048780487813, 458.21724979658256, 646.1048780487802]",0,0,0,1,0,1,9996.jpg
3490486.jpg,1325,2000,"[431.00592089681754, 341.9999999999994, 292.00147659272073, 371.9999999999992]",0,1,0,1,1,1,1831.jpg
